Song:
	samples=10577664
	channels=2
	BPM=127.5258
	points=20660
Idx                 Time                Start Sample        End Sample          delta               rawBPM              BPM                 
8157                94.70258            8352768             8353791             0.1741486           344.5334            86.13335            
8163                94.77225            8358912             8359935             0.069664            861.277             107.6596            
8178                94.9464             8374272             8375295             0.1741486           344.5334            86.13335            
8180                94.96961            8376320             8377343             0.02321625          2584.397            80.76241            
8197                95.16698            8393728             8394751             0.1973724           303.9938            151.9969            
8200                95.20181            8396800             8397823             0.03482819          1722.743            107.6714            
8259                95.8868             8457216             8458239             0.6849899           87.59253            175.1851            
8268                95.99129            8466432             8467455             0.1044922           574.2056            143.5514            
8280                96.13062            8478720             8479743             0.1393204           430.6621            107.6655            
8298                96.33959            8497152             8498175             0.2089767           287.1133            143.5566            
8310                96.47891            8509440             8510463             0.1393204           430.6621            107.6655            
8339                96.8156             8539136             8540159             0.3366852           178.208             89.10401            
8341                96.83882            8541184             8542207             0.02322388          2583.548            80.73587            
8348                96.92009            8548352             8549375             0.08126831          738.2952            92.2869             
8359                97.0478             8559616             8560639             0.1277084           469.8202            117.455             
8386                97.36127            8587264             8588287             0.3134689           191.4065            95.70326            
8421                97.76762            8623104             8624127             0.4063492           147.6563            147.6563            
8431                97.88372            8633344             8634367             0.1161041           516.7775            129.1944            
8441                97.99982            8643584             8644607             0.1160965           516.8115            129.2029            
8476                98.40617            8679424             8680447             0.4063492           147.6563            147.6563            
8503                98.71964            8707072             8708095             0.3134689           191.4065            95.70326            
8519                98.9054             8723456             8724479             0.1857605           322.9966            80.74914            
8523                98.95184            8727552             8728575             0.04644012          1291.986            80.74914            
8542                99.17242            8747008             8748031             0.2205887           271.9995            135.9997            
8559                99.3698             8764416             8765439             0.1973724           303.9938            151.9969            
8582                99.63683            8787968             8788991             0.2670288           224.6949            112.3474            
8604                99.89224            8810496             8811519             0.2554169           234.9101            117.455             
8665                100.6005            8872960             8873983             0.7082138           84.72018            169.4404            
8684                100.821             8892416             8893439             0.2205887           271.9995            135.9997            
8686                100.8443            8894464             8895487             0.02321625          2584.397            80.76241            
8747                101.5525            8956928             8957951             0.7082138           84.72018            169.4404            
8767                101.7847            8977408             8978431             0.232193            258.4057            129.2029            
8827                102.4813            9038848             9039871             0.6966019           86.13242            172.2648            
8906                103.3985            9119744             9120767             0.9171906           65.41716            130.8343            
8927                103.6423            9141248             9142271             0.2438049           246.0984            123.0492            
8987                104.3389            9202688             9203711             0.6966019           86.13242            172.2648            
8989                104.3621            9204736             9205759             0.02321625          2584.397            80.76241            
9007                104.5711            9223168             9224191             0.2089844           287.1028            143.5514            
9069                105.2909            9286656             9287679             0.7198181           83.35439            166.7088            
9090                105.5347            9308160             9309183             0.2438049           246.0984            123.0492            
9148                106.2081            9367552             9368575             0.673378            89.103              178.206             
9231                107.1717            9452544             9453567             0.9636307           62.26452            124.529             
9251                107.4039            9473024             9474047             0.2322006           258.3972            129.1986            
9278                107.7174            9500672             9501695             0.3134689           191.4065            95.70326            
9311                108.1005            9534464             9535487             0.3831329           156.6036            156.6036            
9313                108.1237            9536512             9537535             0.02321625          2584.397            80.76241            
9333                108.3559            9556992             9558015             0.2322006           258.3972            129.1986            
9374                108.8319            9598976             9599999             0.4760056           126.049             126.049             
9392                109.0409            9617408             9618431             0.2089844           287.1028            143.5514            
9413                109.2847            9638912             9639935             0.2438049           246.0984            123.0492            
9440                109.5982            9666560             9667583             0.3134689           191.4065            95.70326            
9444                109.6446            9670656             9671679             0.04644012          1291.986            80.74914            
9455                109.7723            9681920             9682943             0.1277161           469.7921            117.448             
9476                110.0161            9703424             9704447             0.2438049           246.0984            123.0492            
9485                110.1206            9712640             9713663             0.1044922           574.2056            143.5514            
9490                110.1787            9717760             9718783             0.05805206          1033.555            129.1944            
9496                110.2483            9723904             9724927             0.06965637          861.3713            107.6714            
9523                110.5618            9751552             9752575             0.3134689           191.4065            95.70326            
9533                110.6779            9761792             9762815             0.1161041           516.7775            129.1944            
9538                110.736             9766912             9767935             0.05804443          1033.691            129.2113            
9553                110.9101            9782272             9783295             0.1741486           344.5334            86.13335            
9556                110.9449            9785344             9786367             0.03483582          1722.365            107.6478            
9575                111.1655            9804800             9805823             0.2205887           271.9995            135.9997            
9601                111.4674            9831424             9832447             0.301857            198.7696            99.38481            
9635                111.8621            9866240             9867263             0.3947372           151.9998            151.9998            
9657                112.1176            9888768             9889791             0.2554245           234.9031            117.4515            
9679                112.373             9911296             9912319             0.2554169           234.9101            117.455             
9688                112.4775            9920512             9921535             0.1044922           574.2056            143.5514            
9717                112.8141            9950208             9951231             0.3366852           178.208             89.10401            
9738                113.058             9971712             9972735             0.2438126           246.0907            123.0453            
9771                113.4411            10005504            10006527            0.3831253           156.6067            156.6067            
9798                113.7546            10033152            10034175            0.3134689           191.4065            95.70326            
9818                113.9868            10053632            10054655            0.2322006           258.3972            129.1986            
9853                114.3931            10089472            10090495            0.4063492           147.6563            147.6563            
9877                114.6717            10114048            10115071            0.2786407           215.331             107.6655            
9887                114.7878            10124288            10125311            0.1161041           516.7775            129.1944            
9899                114.9272            10136576            10137599            0.1393127           430.6856            107.6714            
9919                115.1594            10157056            10158079            0.2322006           258.3972            129.1986            
9959                115.6238            10198016            10199039            0.4644012           129.1986            129.1986            
9982                115.8908            10221568            10222591            0.2670288           224.6949            112.3474            
10004               116.1462            10244096            10245119            0.2554169           234.9101            117.455             
10024               116.3784            10264576            10265599            0.2322006           258.3972            129.1986            
10040               116.5642            10280960            10281983            0.1857605           322.9966            80.74914            
10048               116.6571            10289152            10290175            0.09288025          645.9931            80.74914            
10062               116.8196            10303488            10304511            0.1625443           369.1302            92.28256            
10101               117.2724            10343424            10344447            0.4527893           132.512             132.512             
10120               117.493             10362880            10363903            0.2205887           271.9995            135.9997            
10122               117.5162            10364928            10365951            0.02321625          2584.397            80.76241            
10142               117.7484            10385408            10386431            0.2322006           258.3972            129.1986            
10172               118.0967            10416128            10417151            0.3482971           172.2667            86.13335            
10202               118.445             10446848            10447871            0.3483047           172.2629            86.13147            
10223               118.6888            10468352            10469375            0.2438049           246.0984            123.0492            
10229               118.7585            10474496            10475519            0.069664            861.277             107.6596            
10283               119.3854            10529792            10530815            0.6269379           95.70326            191.4065            
10303               119.6176            10550272            10551295            0.2322006           258.3972            129.1986            
10322               119.8382            10569728            10570751            0.2205887           271.9995            135.9997            
10364               120.3258            10612736            10613759            0.4876175           123.0473            123.0473            
10379               120.5               10628096            10629119            0.1741486           344.5334            86.13335            
10384               120.558             10633216            10634239            0.05805206          1033.555            129.1944            
